鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物),臺北市信義區忠孝東路五段790巷23弄1~30號,25.75,住,,,1081024,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,63.9,3,2,1,有,無,11000000,172144,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLOJJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區福德街300巷1~30號,23.9,住,,,1081206,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750630,81.72,2,2,1,有,無,12650000,154797,,0.0,0,含增建或未登記建物。;,RPPNMLPJJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區松隆路91~120號,25.4,住,,,1081121,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720108,124.91,3,2,2,有,無,17500000,140101,,0.0,0,含增建或未登記建物。;,RPQNMLPJJHPFFDA67CA
信義區,房地(土地+建物),臺北市信義區莊敬路239巷1弄1~30號,14.34,商,,,1081127,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740703,55.45,3,2,2,有,無,9800000,176736,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLKLJHPFFDA97CA
松山區,房地(土地+建物),臺北市松山區八德路四段271~300號,19.94,住,,,1081204,土地1建物1車位0,四層,七層,辦公商業大樓,商業用,鋼筋混凝土造,0800121,117.74000000000001,0,0,0,無,有,20250000,171989,,0.0,0,,RPSOMLKLJHPFFDA67CA
北投區,土地,豐年段三小段361~390地號,358.7,農,,,1081213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6550000,18260,,0.0,0,,RPROMLNLKIOFFEA08CA
士林區,房地(土地+建物),臺北市士林區文林路271~300號,24.15,商,,,1081129,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741105,114.9,3,2,2,有,有,22880000,199130,,0.0,0,含增建或未登記建物。;,RPTOMLNLKIOFFEA28CA
士林區,房地(土地+建物),臺北市士林區福華路147巷1~30號,26.5,住,,,1081117,土地1建物1車位0,一層,四層,店面(店鋪),住家用,鋼筋混凝土造,0610623,85.22,2,2,1,有,無,27750000,325628,,0.0,0,含增建或未登記建物。;,RPUOMLNLKIOFFEA38CA
北投區,房地(土地+建物),臺北市北投區中央南路二段1~30號,7.77,工,,,1081125,土地1建物1車位0,十八層,十九層,其他,見其他登記事項,鋼筋混凝土造,1040828,48.64,1,1,1,有,有,7700000,158306,,0.0,0,,RPVOMLNLKIOFFEA48CA
北投區,房地(土地+建物),臺北市北投區建民路116巷1~30號,37.75,住,,,1081202,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650831,95.61,3,2,2,有,無,17800000,186173,,0.0,0,,RPROMLOLKIOFFEA18CA
士林區,土地,富安段一小段271~300地號,603.0,其他,,,1081206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31009360,51425,,0.0,0,,RPSOMLOLKIOFFEA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1080913,土地2建物1車位2,十四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,283.48,3,2,2,有,無,67360000,292165,坡道平面,76.2,6800000,,RPPQMLOLKIOFFEA18CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,17.52,住,,,1050915,土地2建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,198.13,3,2,2,有,無,46100000,271199,坡道平面,38.1,2700000,"1.本案為預售,雨遮不計價2.登記權利人為二人",RPQQMLOLKIOFFEA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,17.37,住,,,1060313,土地2建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,197.64999999999998,3,2,2,有,無,48000000,283924,坡道平面,38.1,2700000,"1.本案為預售,雨遮不計價",RPRQMLOLKIOFFEA38CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1051203,土地2建物1車位2,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,283.48,3,2,2,有,無,72800000,316963,坡道平面,76.2,7100000,"1.本案為預售,雨遮不計價2.二車位未拆分單價",RPSQMLOLKIOFFEA48CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1061115,土地2建物1車位2,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,283.48,3,2,2,有,無,69000000,305384,坡道平面,76.2,5700000,"1.本案為預售,雨遮不計價2.二停車位未拆分單價",RPTQMLOLKIOFFEA58CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,,,1051203,土地2建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,206.46,3,2,2,有,無,56880000,316465,坡道平面,38.1,3600000,"1.本案為預售,雨遮不計價",RPUQMLOLKIOFFEA68CA
士林區,土地,蘭雅段一小段691~720地號,174.8,其他,,,1081211,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14137257,80877,,0.0,0,包含公共設施保留地之交易。;公共設施保留地之交易,RPRQMLPLKIOFFEA48CA
北投區,房地(土地+建物),臺北市北投區石牌路二段315巷1~30號,18.34,住,,,1081129,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851120,53.09,1,1,1,有,有,8500000,160105,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPROMLQLKIOFFEA38CA
北投區,房地(土地+建物),臺北市北投區知行路61~90號,26.46,住,,,1081210,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,100.60000000000001,3,1,1,有,無,3000000,29821,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLQLKIOFFEA88CA
士林區,房地(土地+建物),臺北市士林區天母東路69巷12弄1~30號,35.95,住,,,1080227,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690804,116.36,3,2,2,有,無,10000000,85940,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPWOMLRLKIOFFEA98CA
士林區,房地(土地+建物)+車位,臺北市士林區天母東路1~30號,103.29,商,,,1081206,土地1建物2車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780107,328.9,3,2,2,有,無,45888000,139520,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLKMKIOFFEA08CA
士林區,房地(土地+建物)+車位,臺北市士林區基河路1~30號,58.09,商,,,1080812,土地1建物1車位3,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041104,447.44,0,0,0,無,有,79500000,213736,坡道平面,96.54,4500000,1.毛胚屋,RPPPMLLMKIOFFEA87CA
北投區,房地(土地+建物),臺北市北投區石牌路一段39巷120弄1~30號,11.38,住,,,1081130,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590324,38.17,2,2,1,有,無,4200000,110034,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLLJJHPFFEA37CA
士林區,房地(土地+建物),臺北市士林區德行東路190巷1弄1~30號,23.96,住,,,1081112,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741105,109.03,3,2,2,有,有,17500000,160506,,0.0,0,,RPPNMLQJJHPFFEA77CA
士林區,房地(土地+建物),臺北市士林區福志路91~120號,29.2,住,,,1081117,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670626,106.41999999999999,3,2,2,有,無,16000000,150348,,0.0,0,,RPVNMLTJJHPFFEA68CA
北投區,土地,三合段31~60地號,90.9,住,,,1081018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43997440,484020,,0.0,0,,RPXNMLNKJHPFFEA38CA
