鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區龍勝路151~180號,9.3,商,,,1081203,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950809,94.08,2,1,1,有,有,5820000,61862,,0.0,0,,RPROMLKMKIOFFAE87CA
前金區,土地,民生段151~180地號,73.0,商,,,1081210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,205479,,0.0,0,,RPPOMLLMKIOFFAE77CA
前金區,房地(土地+建物),高雄市前金區自強三路211~240號,41.0,商,,,1081213,土地1建物1車位0,全,三層,透天厝,,加強磚造,0560406,112.8,4,2,3,有,無,16780000,148759,,0.0,0,4樓增建,RPWOMLNJJHPFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華豐街124巷1~30號,11.29,住,,,1081123,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910701,97.95,2,1,1,有,有,5560000,56764,坡道平面,0.0,0,,RPQNMLPJJHPFFAE77CA
前金區,房地(土地+建物),高雄市前金區河東路151~180號,483.31,商,,,1081206,土地1建物5車位0,一層，二層，三層，四層，騎樓，地下一層,三十五層,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0850215,11712.18,0,0,0,無,有,748000000,63865,,0.0,0,,RPTNMLKLJHPFFAE77CA
前金區,房地(土地+建物)+車位,高雄市前金區旺盛街121~150號,41.78,住,,,1081126,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080612,321.78999999999996,4,2,2,有,有,23300000,75889,坡道平面,74.06,4500000,,RPSOMLKLJHPFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水二路1~30號,31.52,住,,,1081120,土地1建物1車位1,十四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030225,363.58,4,2,3,有,有,27500000,77652,坡道平面,30.04,1600000,,RPTOMLKLJHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1771~1800號,21.25,商,,,1081108,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,321.83000000000004,4,2,3,有,有,24500000,76127,坡道平面,17.98,0,,RPPNMLQKJHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1801~1830號,18.71,商,,,1081019,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,284.1,4,2,3,有,有,20310000,71489,坡道平面,17.98,0,,RPQNMLQKJHPFFAE97CA
苓雅區,房地(土地+建物),高雄市苓雅區仁愛三街301~330號,15.93,商,,,1081127,土地4建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0760515,131.65,3,2,2,有,有,6000000,45575,,0.0,0,,RPTOMLRLKIOFFBE78CA
苓雅區,房地(土地+建物),高雄市苓雅區苓安路1~30號,23.7,住,,,1081117,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730110,80.57,3,2,2,有,無,3850000,47785,,0.0,0,,RPUOMLRLKIOFFBE88CA
苓雅區,房地(土地+建物),高雄市苓雅區正義路10巷91~120號,46.0,住,,,1081127,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0671205,71.44,3,2,1,有,無,3800000,53191,,0.0,0,含增建或未登記建物。;,RPXNMLRLKIOFFBE09CA
苓雅區,房地(土地+建物),高雄市苓雅區武營路635巷1~30號,24.91,住,,,1081213,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730121,67.68,3,2,2,有,無,3600000,53191,,0.0,0,,RPOPMLRLKIOFFBE38CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區興中一路31~60號,34.69,住,,,1081206,土地1建物2車位1,六層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0760414,165.12,3,2,3,有,有,7600000,46027,坡道平面,34.75,0,,RPQPMLRLKIOFFBE58CA
前金區,房地(土地+建物),高雄市前金區光明街1~30號,6.06,商,,,1081216,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080715,84.1,2,2,2,有,有,7130000,84780,,0.0,0,,RPSNMLLLJHPFFAE77CA
苓雅區,房地(土地+建物),高雄市苓雅區廣州一街122巷1~30號,35.6,商,,,1081126,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720419,136.97,3,2,2,有,有,5500000,40155,,0.0,0,,RPXNMLKMKIOFFBE48CA
